H<datetime,DIFF1_mean[mV],DIFF1_rms[mV],DIFF1_min[mV],DIFF1_max[mV],DIFF3_mean[mV],DIFF3_rms[mV],DIFF3_min[mV],DIFF3_max[mV],V2rms[V],P2real[W],PF2[],f2[Hz],notes>
M<2024/07/30 02:28:57,304.42,304.42,303.50,305.38,0.00,0.01,-0.03,0.04,232.99,-0.01,-0.00,49.976,>
M<2024/07/30 02:29:07,304.42,304.42,303.75,305.38,0.00,0.01,-0.04,0.05,232.92,0.08,0.00,49.975,>
M<2024/07/30 02:29:17,304.48,304.48,303.75,305.63,0.00,0.01,-0.05,0.05,232.74,-0.00,-0.00,49.978,>
M<2024/07/30 02:29:27,304.54,304.54,303.88,305.50,0.00,0.01,-0.04,0.04,232.81,0.11,0.00,49.977,>
M<2024/07/30 02:29:37,304.70,304.70,303.88,305.88,0.00,0.01,-0.05,0.05,232.60,0.00,0.00,49.963,>
M<2024/07/30 02:29:47,304.58,304.58,303.75,305.50,0.00,0.01,-0.03,0.05,232.66,0.03,0.00,49.990,>
M<2024/07/30 02:29:57,304.64,304.64,304.00,305.63,0.00,0.01,-0.04,0.04,232.34,0.07,0.00,49.993,>
M<2024/07/30 02:30:07,304.60,304.60,303.88,305.50,0.00,0.01,-0.04,0.05,232.33,0.08,0.00,49.984,>
M<2024/07/30 02:30:17,304.65,304.65,304.00,305.63,0.00,0.01,-0.05,0.04,232.27,-0.22,-0.00,49.940,>
M<2024/07/30 02:30:27,304.67,304.67,304.00,305.63,0.00,0.01,-0.03,0.05,232.38,0.06,0.00,49.933,>
M<2024/07/30 02:30:37,304.72,304.72,304.00,305.75,0.00,0.01,-0.07,0.05,232.09,0.22,0.00,49.959,>
M<2024/07/30 02:30:47,304.76,304.76,304.13,305.75,0.00,0.01,-0.03,0.04,232.13,0.23,0.00,49.981,>
M<2024/07/30 02:30:57,304.81,304.81,303.75,305.88,0.00,0.01,-0.06,0.04,232.29,-0.03,-0.00,49.968,>
M<2024/07/30 02:31:07,304.93,304.93,304.13,306.00,0.00,0.01,-0.03,0.04,232.54,-0.23,-0.00,49.955,>
M<2024/07/30 02:31:17,304.95,304.95,304.25,305.88,0.00,0.01,-0.04,0.04,232.57,-0.03,-0.00,49.952,>
M<2024/07/30 02:31:27,304.89,304.89,304.13,305.88,0.00,0.01,-0.04,0.05,232.53,-0.04,-0.00,49.987,>
M<2024/07/30 02:31:37,304.87,304.87,304.13,305.88,0.00,0.01,-0.04,0.04,232.37,0.01,0.00,49.976,>
