H<datetime,DIFF1_mean[mV],DIFF1_rms[mV],DIFF1_min[mV],DIFF1_max[mV],DIFF3_mean[mV],DIFF3_rms[mV],DIFF3_min[mV],DIFF3_max[mV],V2rms[V],P2real[W],PF2[],f2[Hz],notes>
M<2024/07/27 03:47:15,483.72,483.72,482.88,485.13,0.00,0.01,-0.04,0.05,232.98,0.18,0.00,49.944,>
M<2024/07/27 03:47:25,483.72,483.72,482.63,485.00,0.00,0.01,-0.03,0.08,233.12,0.15,0.00,49.970,>
M<2024/07/27 03:47:35,483.69,483.69,482.63,485.00,0.00,0.01,-0.04,0.04,233.00,-0.09,-0.00,49.983,>
M<2024/07/27 03:47:45,483.90,483.90,482.88,485.63,0.00,0.01,-0.04,0.06,232.79,0.20,0.00,49.985,>
M<2024/07/27 03:47:55,483.83,483.83,482.88,485.25,0.00,0.01,-0.04,0.04,232.93,0.06,0.00,49.985,>
M<2024/07/27 03:48:05,483.83,483.83,482.88,485.25,0.00,0.01,-0.04,0.04,232.83,-0.07,-0.00,49.978,>
M<2024/07/27 03:48:15,483.78,483.78,482.88,485.25,0.00,0.01,-0.05,0.06,232.70,0.06,0.00,49.979,>
M<2024/07/27 03:48:25,483.93,483.92,483.00,485.50,0.00,0.01,-0.03,0.05,232.82,-0.30,-0.00,49.966,>
M<2024/07/27 03:48:35,483.87,483.87,482.88,485.13,0.00,0.01,-0.03,0.04,232.67,0.04,0.00,50.069,>
M<2024/07/27 03:48:45,483.86,483.85,482.88,485.25,0.00,0.01,-0.05,0.04,232.84,0.19,0.00,49.995,>
M<2024/07/27 03:48:55,483.82,483.82,482.88,485.13,0.00,0.01,-0.05,0.04,232.89,0.19,0.00,49.988,>
M<2024/07/27 03:49:05,483.85,483.85,482.88,485.50,0.00,0.01,-0.04,0.05,233.07,0.16,0.00,49.986,>
M<2024/07/27 03:49:15,483.97,483.97,483.00,485.25,0.00,0.01,-0.04,0.05,233.16,-0.05,-0.00,49.980,>
M<2024/07/27 03:49:25,483.87,483.86,482.63,485.38,0.00,0.01,-0.04,0.04,232.95,0.18,0.00,49.966,>
M<2024/07/27 03:49:35,483.86,483.85,482.88,485.25,0.00,0.01,-0.03,0.05,233.33,0.23,0.00,49.953,>
M<2024/07/27 03:49:45,483.86,483.86,482.88,485.25,0.00,0.01,-0.03,0.05,233.07,-0.07,-0.00,49.993,>
M<2024/07/27 03:49:55,483.90,483.90,483.00,485.25,0.00,0.01,-0.04,0.05,232.93,0.18,0.00,49.965,>
M<2024/07/27 03:50:05,483.90,483.90,482.88,485.38,0.00,0.01,-0.03,0.04,232.87,0.14,0.00,49.961,>
M<2024/07/27 03:50:15,483.95,483.95,482.88,485.38,0.00,0.01,-0.04,0.06,232.97,-0.09,-0.00,49.956,>
