H<datetime,DIFF1_mean[mV],DIFF1_rms[mV],DIFF1_min[mV],DIFF1_max[mV],DIFF3_mean[mV],DIFF3_rms[mV],DIFF3_min[mV],DIFF3_max[mV],V2rms[V],P2real[W],PF2[],f2[Hz],notes>
M<2024/07/29 00:17:42,300.03,300.03,299.38,300.88,0.00,0.01,-0.05,0.05,233.27,0.12,0.00,49.930,>
M<2024/07/29 00:17:52,300.07,300.06,299.38,301.00,0.00,0.01,-0.08,0.04,233.40,0.23,0.00,49.965,>
M<2024/07/29 00:18:02,300.09,300.09,299.38,301.00,0.00,0.01,-0.04,0.09,233.13,0.35,0.00,49.953,>
M<2024/07/29 00:18:12,300.23,300.23,299.50,301.13,0.00,0.01,-0.04,0.06,232.65,0.15,0.00,49.943,>
M<2024/07/29 00:18:22,300.18,300.18,299.38,301.25,0.00,0.01,-0.03,0.04,232.09,0.26,0.00,49.974,>
M<2024/07/29 00:18:32,300.18,300.18,299.50,301.13,0.00,0.01,-0.03,0.05,232.22,0.44,0.00,49.962,>
M<2024/07/29 00:18:42,300.26,300.26,299.50,301.25,0.00,0.01,-0.09,0.09,232.42,0.13,0.00,49.960,>
M<2024/07/29 00:18:52,300.24,300.24,299.50,301.13,0.00,0.01,-0.03,0.04,232.34,-0.13,-0.00,50.086,>
M<2024/07/29 00:19:02,300.35,300.35,299.63,301.25,0.00,0.01,-0.03,0.08,232.37,-0.25,-0.00,50.092,>
M<2024/07/29 00:19:12,300.38,300.38,299.63,301.38,0.00,0.01,-0.03,0.07,232.43,-0.29,-0.00,50.094,>
M<2024/07/29 00:19:22,300.41,300.41,299.75,301.38,0.00,0.01,-0.03,0.04,232.33,-0.02,-0.00,49.962,>
M<2024/07/29 00:19:32,300.45,300.45,299.63,301.38,0.00,0.01,-0.03,0.05,232.11,-0.04,-0.00,49.986,>
M<2024/07/29 00:19:42,300.47,300.47,299.75,301.50,0.00,0.01,-0.04,0.04,232.35,0.11,0.00,49.997,>
M<2024/07/29 00:19:52,300.55,300.55,299.88,301.50,0.00,0.01,-0.04,0.05,232.06,0.28,0.00,50.015,>
M<2024/07/29 00:20:02,300.60,300.60,300.00,301.63,0.00,0.01,-0.05,0.05,232.47,0.34,0.00,50.015,>
M<2024/07/29 00:20:12,300.64,300.64,300.00,301.63,0.00,0.01,-0.04,0.04,232.36,-0.21,-0.00,50.026,>
M<2024/07/29 00:20:22,300.69,300.69,299.88,301.63,0.00,0.01,-0.03,0.04,232.04,0.15,0.00,50.029,>
M<2024/07/29 00:20:32,300.77,300.77,300.13,302.00,0.00,0.01,-0.03,0.08,232.12,-0.13,-0.00,50.012,>
M<2024/07/29 00:20:42,300.79,300.79,300.13,301.63,0.00,0.01,-0.10,0.05,231.99,-0.01,-0.00,50.107,>
M<2024/07/29 00:20:52,300.76,300.76,300.00,301.63,0.00,0.01,-0.03,0.05,231.87,0.02,0.00,50.001,>
M<2024/07/29 00:21:02,300.76,300.76,299.88,301.75,0.00,0.01,-0.05,0.03,231.93,0.20,0.00,49.991,>
M<2024/07/29 00:21:12,300.85,300.85,300.13,301.75,0.00,0.01,-0.05,0.04,231.76,0.04,0.00,50.001,>
M<2024/07/29 00:21:22,300.88,300.88,300.13,301.75,0.00,0.01,-0.09,0.09,232.25,-0.01,-0.00,50.007,>
M<2024/07/29 00:21:32,300.90,300.90,300.13,302.00,0.00,0.01,-0.04,0.05,232.27,0.21,0.00,49.972,>
M<2024/07/29 00:21:43,300.98,300.98,300.25,302.13,0.00,0.01,-0.03,0.07,232.43,-0.18,-0.00,50.008,>
M<2024/07/29 00:21:53,301.08,301.08,300.38,302.00,0.00,0.01,-0.04,0.05,232.50,0.01,0.00,49.972,>
M<2024/07/29 00:22:03,301.02,301.02,300.38,302.00,0.00,0.01,-0.04,0.05,232.48,-0.02,-0.00,50.008,>
M<2024/07/29 00:22:13,301.02,301.02,300.25,301.88,0.00,0.01,-0.04,0.05,232.46,-0.07,-0.00,49.988,>
M<2024/07/29 00:22:23,301.06,301.07,300.38,302.00,0.00,0.01,-0.03,0.05,232.20,0.09,0.00,50.063,>
M<2024/07/29 00:22:33,301.12,301.12,300.38,302.13,0.00,0.01,-0.04,0.04,232.30,0.02,0.00,50.003,>
M<2024/07/29 00:22:43,301.14,301.15,300.38,302.00,0.00,0.01,-0.05,0.05,232.38,0.08,0.00,50.010,>
M<2024/07/29 00:22:53,301.19,301.19,300.50,302.13,0.00,0.01,-0.03,0.04,232.28,-0.08,-0.00,50.002,>
M<2024/07/29 00:23:03,301.24,301.24,300.50,302.13,0.00,0.01,-0.03,0.04,232.17,0.10,0.00,50.006,>
M<2024/07/29 00:23:13,301.22,301.22,300.38,302.25,0.00,0.01,-0.05,0.05,232.33,-0.06,-0.00,50.003,>
M<2024/07/29 00:23:23,301.29,301.29,300.63,302.25,0.00,0.01,-0.04,0.05,232.33,0.20,0.00,49.999,>
M<2024/07/29 00:23:33,301.36,301.36,300.63,302.38,0.00,0.01,-0.04,0.04,232.25,0.21,0.00,49.980,>
M<2024/07/29 00:23:43,301.38,301.38,300.75,302.25,0.00,0.01,-0.04,0.04,232.12,-0.07,-0.00,50.085,>
M<2024/07/29 00:23:53,301.41,301.41,300.75,302.25,0.00,0.01,-0.09,0.05,232.04,0.05,0.00,49.988,>
M<2024/07/29 00:24:03,301.45,301.45,300.88,302.38,0.00,0.01,-0.09,0.09,232.44,-0.29,-0.00,49.970,>
M<2024/07/29 00:24:13,301.50,301.50,300.75,302.38,0.00,0.01,-0.05,0.04,232.20,0.38,0.00,49.995,>
M<2024/07/29 00:24:23,301.46,301.46,300.75,302.38,0.00,0.01,-0.03,0.05,232.46,-0.21,-0.00,50.095,>
M<2024/07/29 00:24:33,301.55,301.55,300.88,302.50,0.00,0.01,-0.04,0.05,232.56,0.04,0.00,49.989,>
M<2024/07/29 00:24:44,301.61,301.61,300.88,302.50,0.00,0.01,-0.07,0.05,232.20,-0.06,-0.00,49.969,>
M<2024/07/29 00:24:54,301.60,301.60,300.88,302.75,0.00,0.01,-0.05,0.04,231.99,0.06,0.00,49.977,>
M<2024/07/29 00:25:04,301.65,301.64,301.00,302.63,0.00,0.01,-0.04,0.08,232.26,0.23,0.00,49.985,>
M<2024/07/29 00:25:14,301.70,301.70,300.88,302.63,0.00,0.01,-0.04,0.04,231.92,0.48,0.00,50.011,>
M<2024/07/29 00:25:24,301.69,301.69,301.00,302.63,0.00,0.01,-0.09,0.04,231.96,0.05,0.00,50.079,>
M<2024/07/29 00:25:34,301.75,301.75,301.13,302.88,0.00,0.01,-0.09,0.05,232.42,0.19,0.00,50.015,>
M<2024/07/29 00:25:44,301.89,301.88,301.13,302.88,0.00,0.01,-0.05,0.04,232.62,-0.10,-0.00,49.994,>
M<2024/07/29 00:25:54,301.85,301.85,301.25,302.75,0.00,0.01,-0.03,0.04,232.32,0.06,0.00,50.111,>
M<2024/07/29 00:26:04,301.88,301.88,301.25,302.88,0.00,0.01,-0.09,0.04,232.20,0.43,0.00,49.991,>
M<2024/07/29 00:26:14,301.95,301.95,301.25,302.88,0.00,0.01,-0.04,0.04,232.33,0.09,0.00,49.953,>
M<2024/07/29 00:26:24,301.95,301.95,301.25,303.00,0.00,0.01,-0.04,0.05,232.37,0.05,0.00,50.016,>
M<2024/07/29 00:26:34,301.93,301.92,301.25,302.88,0.00,0.01,-0.04,0.04,232.39,0.21,0.00,49.999,>
M<2024/07/29 00:26:44,302.08,302.07,301.25,303.00,0.00,0.01,-0.03,0.03,232.41,-0.02,-0.00,50.019,>
M<2024/07/29 00:26:54,302.07,302.07,301.38,303.00,0.00,0.01,-0.07,0.04,232.20,0.25,0.00,49.967,>
M<2024/07/29 00:27:04,302.09,302.09,301.50,303.00,0.00,0.01,-0.05,0.04,232.44,0.10,0.00,50.006,>
M<2024/07/29 00:27:14,302.06,302.06,301.38,303.00,0.00,0.01,-0.05,0.05,232.68,0.40,0.00,49.999,>
